GENESIS-Tabelle: 61111-0003
Consumer price index: Germany, years, individual consumption;;;;;;
by purpose (COICOP 2-5-digit hierarchy);;;;;;
Consumer price index for Germany;;;;;;
Germany;;;;;;
Consumer price index (2020=100);;;;;;
;;2019;2020;2021;2022;2023
CC13-0723;    Maintenance and repair of vehicles;96.9;100.0;104.4;110.8;120.1
CC13-07230;      Maintenance and repair of vehicles;96.9;100.0;104.4;110.8;120.1
CC13-0724;    Other services for vehicles;98.3;100.0;104.2;109.3;112.7
CC13-07241;      Rent for cars, garages or parking spaces;98.1;100.0;110.8;131.4;129.9
CC13-07242;      Road tolls  and parking fees ;97.3;100.0;103.0;108.5;116.2
CC13-07243;      Driv.school,roadworthiness check motor vehic. etc.;98.5;100.0;103.5;106.9;110.4
CC13-073;  Transport services;104.8;100.0;100.5;102.4;109.4
CC13-0731;    Passenger transport by railway;114.3;100.0;96.8;92.1;95.6
CC13-07311;      Train ticket;114.3;100.0;96.8;92.1;95.6
CC13-0732;    Passenger transport by road;97.9;100.0;101.8;108.9;120.5
CC13-07321;      Ticket for long-distance coach;104.2;.;.;.;.
CC13-07322;      Taxi ride and car pools;97.0;.;.;.;.
CC13-0733;    Passenger transport by air;95.5;100.0;102.4;132.5;148.8
CC13-07331;      Domestic flights;94.9;100.0;109.2;117.9;117.1
CC13-07332;      International flights;95.6;100.0;101.9;133.5;151.0
CC13-0734;    Passenger transport by waterway;97.7;100.0;104.5;111.2;117.5
CC13-07341;      Boat trip by sea;98.7;100.0;107.5;111.2;113.6
CC13-07342;      Boat trip by inland waterway;96.9;100.0;101.8;111.3;120.9
CC13-0735;    Combined passenger transport services;98.6;100.0;101.6;87.0;89.2
CC13-07350;      Combined passenger transport services;98.6;100.0;101.6;87.0;89.2
CC13-0736;    Other purchased transport services;97.9;100.0;103.8;112.6;122.5
CC13-07362;      Removal and storage services;97.9;100.0;103.8;112.6;122.5
CC13-08;Communication;102.1;100.0;99.4;99.4;99.8
CC13-081;  Postal and parcel services;96.6;100.0;99.5;102.5;104.2
CC13-0810;    Postal and parcel services;96.6;100.0;99.5;102.5;104.2
CC13-08101;      Postal services;95.1;100.0;100.0;104.3;104.8
CC13-08109;      Parcel services;98.8;100.0;98.9;100.6;103.7
CC13-082;  Telephones and other communication devices;107.5;100.0;96.4;100.3;100.8
CC13-0820;    Telephones and other communication devices;107.5;100.0;96.4;100.3;100.8
CC13-08201;      Landline telephone;101.0;100.0;100.5;102.9;106.6
CC13-08202;      Mobile phone without contract;108.1;100.0;96.7;103.8;101.9
CC13-08203;      Smartwatch, fitness tracker or the like;-;100.0;94.5;93.0;97.3
CC13-08204;      Repair of telephones;-;100.0;99.7;99.9;101.6
CC13-083;  Telecommunication services;101.9;100.0;100.1;98.8;98.9
CC13-0830;    Telecommunication services;101.9;100.0;100.1;98.8;98.9
CC13-08301;      Wire-based telecommunications services;99.0;100.0;101.0;101.0;103.0
CC13-08302;      Wireless telecommunications services;102.4;100.0;99.4;97.0;95.4
CC13-08303;      Access to online services and internet ;101.8;100.0;100.1;99.4;97.8
CC13-08304;      Combined telecommunication services;101.8;100.0;100.7;100.5;102.2
CC13-09;Recreation, entertainment and culture;100.3;100.0;102.9;107.9;114.0
CC13-091;  Audio-visual, photogr., inform. processing equipm.;103.7;100.0;100.9;103.6;103.9
CC13-0911;    Radio and television sets and the like;104.5;100.0;99.2;97.4;99.2
CC13-09111;      Equip. for reception,recording,reproduc. of sound;102.5;100.0;103.1;105.2;109.1
CC13-09112;      TV set, satellite kit or the like;106.8;100.0;97.3;93.8;91.0
CC13-09113;      MP3 player or the like;102.0;100.0;92.3;91.3;95.9
CC13-09119;      Headphones, E-book-Reader or the like;100.9;100.0;100.0;98.9;104.6
CC13-0912;    Photographic a. cinematogr. equip., optical instr.;100.0;100.0;111.7;124.3;130.4
CC13-09121;      Cameras;99.3;100.0;113.0;128.2;138.4
CC13-09122;      Zoom lens or the like;102.0;100.0;111.8;121.2;120.6
CC13-09123;      Binocular or other optical equipment;98.9;100.0;103.1;107.3;108.1
CC13-0913;    Information processing equipment;105.0;100.0;102.5;108.9;105.5
CC13-09131;      Personal computers;105.4;100.0;102.5;111.4;106.5
CC13-09132;      Accessories for information processing equipment;105.2;100.0;104.3;108.1;103.3
CC13-09133;      Operating system or other software;102.6;100.0;98.6;93.2;102.6
CC13-0914;    Sound, picture and other data storage media;99.0;100.0;98.1;101.8;105.2
CC13-09141;      Pre-recorded recording media;96.8;100.0;98.0;100.9;104.0
CC13-09142;      Unrecorded recording media;107.4;100.0;98.7;113.6;123.1
CC13-09149;      Memory card, USB flash drive or the like;106.8;100.0;98.2;103.6;106.9
CC13-0915;    Repair of audio-,photo-,inf. proc. equip.;98.2;100.0;102.4;106.8;112.8
CC13-09150;      Repair of entertainment electronics;98.2;100.0;102.4;106.8;112.8
CC13-092;  Other durables for recreation and culture;100.3;100.0;103.6;111.4;119.7
CC13-0921;    Durable consumer goods for outdoor recreation;100.1;100.0;105.5;115.7;125.0
CC13-09211;      Camper, caravans or other trailers;99.6;100.0;104.8;116.8;129.7
CC13-09213;      Boats, outboard motors and equipment for boats;100.5;100.0;106.1;111.8;113.3
CC13-09214;      Harness, reins, saddle or the like;106.9;100.0;111.2;112.8;108.9
CC13-09215;      Other durables for outdoor recreation and culture;101.5;100.0;102.7;113.6;116.6
CC13-0922;    Durable consumer goods for indoor recreation;100.5;100.0;100.2;104.1;109.3
CC13-09221;      Musical instruments;100.5;100.0;100.2;104.1;109.3
CC13-0923;    Repair of durables for recreation and culture;101.3;100.0;101.3;103.3;120.1
CC13-09230;      Repair of durables for recreation and culture;101.3;100.0;101.3;103.3;120.1
CC13-093;  Other goods a.services f.recreation a.garden,pets;99.2;100.0;102.8;109.3;119.9
CC13-0931;    Games, toys and hobby goods;99.2;100.0;100.6;103.2;105.9
CC13-09311;      Games and hobby goods;98.6;100.0;98.0;99.9;103.0
CC13-09312;      Toys and celebration articles;99.7;100.0;103.1;106.4;108.8
CC13-0932;    Goods and services for sport, camping, recreation;98.5;100.0;103.2;107.1;108.7
CC13-09321;      Sport equipment;97.3;100.0;103.4;106.8;107.6
CC13-09322;      Equipment for camping and outdoor recreation ;104.3;100.0;102.2;108.7;114.3
CC13-0933;    Garden products, plants and flowers;98.9;100.0;105.1;112.9;122.0
CC13-09331;      Products for gardening;99.5;100.0;102.9;112.0;122.6
CC13-09332;      Plants and flowers;98.6;100.0;106.1;113.3;121.7
CC13-0934;    Pets, including semi-durables and non-durables;99.1;100.0;101.8;111.9;127.8
CC13-09341;      Budgerigar, ornamental fish or other pet;99.3;100.0;106.4;113.9;121.9
CC13-09342;      Goods for pets;99.1;100.0;101.5;111.7;128.2
CC13-0935;    Veterinary and other services for pets;101.3;100.0;101.3;105.4;139.3
CC13-09350;      Veterinary and other services for pets;101.3;100.0;101.3;105.4;139.3
CC13-094;  Recreational and cultural services;98.3;100.0;103.8;106.3;109.4
CC13-0941;    Sporting and recreational services;98.4;100.0;101.5;105.5;110.7
CC13-09411;      Visit to sporting events and recreational events;99.6;100.0;102.1;108.2;113.1
CC13-09412;      Recreational and sporting services;98.2;100.0;101.4;104.9;110.2
CC13-0942;    Cultural services;99.3;100.0;101.9;104.8;107.2
CC13-09421;      Visit to cinema, theater, concert, circus;99.6;100.0;100.1;103.8;108.3
CC13-09422;      Visit to the museum, to the zoo or the like;97.2;100.0;102.5;105.6;110.8
CC13-09423;      Radio and television licence fee;99.3;100.0;102.6;104.9;105.7
CC13-09425;      Photographic services;102.7;100.0;101.6;107.4;111.2
CC13-0943;    Games of chance;96.5;100.0;109.6;109.9;111.5
CC13-09430;      Service charge for games of chance;96.5;100.0;109.6;109.9;111.5
CC13-095;  Print products, stationery and drawing materials;97.9;100.0;102.8;107.6;114.3
CC13-0951;    Books;99.3;100.0;102.3;105.1;110.6
